Name,RIC,Exchange,TRBC Sector,Type of Equity,Currency,ISIN,CUSIP/CINS,SEDOL,GICS Sector,Market_Cap_(USD),Country_of_Issuer,ESG_Score,Environmental_Pillar_Score,Social_Pillar_Score,Governance_Pillar_Score,Controversies_Score,Estimated_CO2_Equivalents_Emission,Number_of_Employees,ROE,Operating_Margin,EPS_Growth_5_Years,DPS_Growth_5_Years,PE,Dividend_Yield,Debt_to_Equity,Current_Ratio,Volatility_200_Days,%_Price_Change_Relative_52W_High,%_Price_Change_Relative_52W_Low
Computacenter PLC,CCC.L,London Stock Exchange,IT Services & Consulting (NEC),Ordinary Share,British Penny,GB00BV9FP302,G23356150,BV9FP30,"Information Technology, Software & Services, IT Services, IT Consulting & Other Services","3,963,993,101",United Kingdom,63.72,32.39,66.46,70.76,100.00,"4,416.00","17,992",21.12,3.99,19.22,21.07,15.38,2.60,2.74,1.20,29.63,2.23,47.75
Grafton Group PLC,GFTU_u.L,London Stock Exchange,Construction Supplies & Fixtures Wholesale,Ordinary Share,British Penny,IE00B00MZ448,G4035Q189,B00MZ44,"Industrials, Capital Goods, Trading Companies & Distributors","2,222,409,238",Ireland,57.18,49.92,48.35,80.47,100.00,"49,974.00","8,717",11.95,10.47,10.61,11.67,11.18,3.89,0.71,2.73,24.40,13.31,39.24
Dunelm Group PLC,DNLM.L,London Stock Exchange,Home Furnishings Retailers (NEC),Ordinary Share,British Penny,GB00B1CKQ739,G2935W108,B1CKQ73,"Consumer Discretionary, Retailing, Specialty Retail, Homefurnishing Retail","2,607,214,420",United Kingdom,67.93,72.57,63.38,70.66,100.00,"15,917.00","7,273",96.02,13.77,15.68,8.45,13.98,3.99,3.14,1.08,27.98,15.70,50.02
IMI PLC,IMI.L,London Stock Exchange,Industrial Machinery & Equipment (NEC),Ordinary Share,British Penny,GB00BGLP8L22,G47152114,BGLP8L2,"Industrials, Capital Goods, Machinery, Industrial Machinery","4,938,386,306",United Kingdom,76.74,76.41,68.86,87.47,100.00,"44,130.00","10,100",24.99,16.32,10.34,-8.19,16.53,1.72,1.78,1.29,24.07,8.66,37.96
Intermediate Capital Group PLC,ICP.L,London Stock Exchange,Investment Management & Fund Operators (NEC),Ordinary Share,British Penny,GB00BYT1DJ19,G4807D192,BYT1DJ1,"Financials, Diversified Financials, Capital Markets, Asset Management & Custody Banks","4,958,979,975",United Kingdom,64.99,52.42,72.62,62.31,100.00,201.00,525,13.89,49.32,-2.47,20.90,17.70,5.58,3.47,2.24,34.81,8.38,46.64
Jet2 PLC,JET2.L,London Stock Exchange,Airlines (NEC),Ordinary Share,British Penny,GB00B1722W11,G5112P101,B1722W1,"Industrials, Transportation, Airlines","2,827,249,423",United Kingdom,26.02,19.55,25.30,34.19,81.82,"983,196.00","8,270",28.72,7.83,13.41,-10.66,7.91,1.03,3.47,1.33,35.05,23.13,68.18
Bellway PLC,BWY.L,London Stock Exchange,Homebuilding (NEC),Ordinary Share,British Penny,GB0000904986,G09744155,0090498,"Consumer Discretionary, Consumer Durables & Apparel, Household Durables, Homebuilding","3,311,957,314",United Kingdom,59.72,52.72,54.54,76.94,100.00,"21,115.00","2,978",7.20,18.47,-11.88,2.79,12.50,6.21,0.48,5.06,28.81,12.22,41.84
International Public Partnerships Ltd,INPP.L,London Stock Exchange,Closed End Funds,Ordinary Share,British Penny,GB00B188SR50,G4891V108,B188SR5,,"3,189,431,699",Guernsey,67.73,67.86,70.57,65.60,100.00,"20,097.00",0,10.75,89.40,16.30,2.61,7.23,5.94,0.01,8.70,23.31,23.50,0.00
YouGov PLC,YOU.L,London Stock Exchange,Market Research,Ordinary Share,British Penny,GB00B1VQ6H25,G9875S112,B1VQ6H2,"Communication Services, Media & Entertainment, Media, Advertising","1,198,380,223",United Kingdom,52.71,39.94,42.00,71.06,100.00,32.00,"1,664",13.65,16.42,28.97,23.87,34.56,1.03,0.92,1.05,42.59,28.44,30.46
Greencoat UK Wind PLC,UKWG.L,London Stock Exchange,UK Investment Trusts,Ordinary Share,British Penny,GB00B8SC6K54,G415A8104,B8SC6K5,"Utilities, Independent Power and Renewable Electricity Producers, Renewable Electricity","3,782,854,033",United Kingdom,46.61,59.99,76.47,21.88,100.00,"1,571.00",0,24.63,96.55,40.26,4.48,6.58,6.20,0.29,0.14,17.46,20.53,1.84
Softcat PLC,SCTS.L,London Stock Exchange,IT Services & Consulting (NEC),Ordinary Share,British Penny,GB00BYZDVK82,G8251T108,BYZDVK8,"Information Technology, Software & Services, IT Services, IT Consulting & Other Services","3,562,123,881",United Kingdom,54.67,41.60,55.70,57.71,100.00,563.00,"1,921",52.30,12.63,22.16,21.57,26.75,1.69,2.18,1.42,26.85,6.20,38.63
Fresnillo PLC,FRES.L,London Stock Exchange,Diversified Mining,Ordinary Share,British Penny,GB00B2QPKJ12,G371E2108,B2QPKJ1,"Materials, Metals & Mining, Precious Metals & Minerals","4,948,226,449",Mexico,70.40,48.74,81.53,83.19,100.00,"961,105.00","7,359",7.38,12.23,-11.91,-14.65,23.33,2.16,0.54,2.82,31.19,45.16,9.47
QinetiQ Group PLC,QQ.L,London Stock Exchange,Aerospace & Defense (NEC),Ordinary Share,British Penny,GB00B0WMWD03,G7303P106,B0WMWD0,"Industrials, Capital Goods, Aerospace & Defense","2,307,916,137",United Kingdom,60.06,65.55,56.58,60.74,100.00,"24,718.00","6,915",15.95,11.43,1.89,4.10,12.12,2.37,1.14,1.12,22.77,15.12,9.66
Oxford Instruments PLC,OXIG.L,London Stock Exchange,Electronic Equipment & Parts (NEC),Ordinary Share,British Penny,GB0006650450,G6838N107,0665045,"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Equipment & Instruments","1,485,090,918",United Kingdom,71.33,59.91,78.85,78.02,100.00,"1,472.80","1,878",17.03,16.69,24.26,7.95,20.57,0.93,0.66,1.60,25.75,27.55,22.94
Britvic PLC,BVIC.L,London Stock Exchange,Non-Alcoholic Beverages (NEC),Ordinary Share,British Penny,GB00B0N8QD54,G17387104,B0N8QD5,"Consumer Staples, Food, Beverage & Tobacco, Beverages, Soft Drinks","2,595,594,962",United Kingdom,79.13,89.98,77.85,68.45,78.13,"47,160.00","4,346",28.73,12.21,4.41,1.82,14.75,3.53,3.05,1.07,14.82,12.26,19.07
4imprint Group PLC,FOUR.L,London Stock Exchange,Direct Marketing,Ordinary Share,British Penny,GB0006640972,G36555103,0664097,"Communication Services, Media & Entertainment, Media, Advertising","1,744,341,636",United Kingdom,59.23,57.28,44.07,79.84,100.00,"3,486.00","1,162",57.16,9.02,24.81,9.05,18.67,2.98,0.71,2.20,34.94,6.53,66.67
Balfour Beatty PLC,BALF.L,London Stock Exchange,Construction & Engineering (NEC),Ordinary Share,British Penny,GB0000961622,G3224V108,0096162,"Industrials, Capital Goods, Construction & Engineering","2,158,379,206",United Kingdom,79.65,79.49,85.01,72.50,41.30,"253,695.00","24,500",20.90,3.58,14.63,27.23,7.41,3.30,2.71,0.91,22.79,20.79,11.43
Marshalls PLC,MSLH.L,London Stock Exchange,Construction Materials (NEC),Ordinary Share,British Penny,GB00B012BV22,G58718100,B012BV2,"Materials, Construction Materials","713,532,701",United Kingdom,73.24,73.19,75.16,70.58,53.85,"42,896.00","2,526",4.06,12.94,-11.86,1.99,16.42,5.44,0.83,1.92,37.16,37.68,4.78
Hays PLC,HAYS.L,London Stock Exchange,Executive Search Services,Ordinary Share,British Penny,GB0004161021,G4361D109,0416102,"Industrials, Commercial & Professional Services, Professional Services, Human Resource & Employment Services","2,029,811,749",United Kingdom,51.24,36.17,40.63,75.35,100.00,"5,379.00","13,234",20.63,2.60,-5.57,-4.67,12.08,2.89,1.84,1.32,24.03,19.02,9.44
Plus500 Ltd,PLUSP.L,London Stock Exchange,Miscellaneous Fintech Infrastructure,Ordinary Share,British Penny,IL0011284465,M7S2CK109,BBT3PS9,"Financials, Diversified Financials, Diversified Financial Services, Specialized Finance","1,351,475,439",Israel,49.29,31.42,30.95,68.15,100.00,299.00,461,47.46,54.10,18.95,-2.68,5.92,3.65,0.29,4.37,19.80,29.34,1.79
HICL Infrastructure PLC,HICL.L,London Stock Exchange,Closed End Funds,Ordinary Share,British Penny,GB00BJLP1Y77,G44393109,BJLP1Y7,,"2,974,854,234",United Kingdom,58.10,46.86,53.74,63.57,100.00,19.57,0,5.92,98.07,7.49,1.00,12.02,6.92,0.00,1.27,23.56,31.02,1.71
Fevertree Drinks PLC,FEVR.L,London Stock Exchange,Distillers & Wineries (NEC),Ordinary Share,British Penny,GB00BRJ9BJ26,G33929103,BRJ9BJ2,"Consumer Staples, Food, Beverage & Tobacco, Beverages, Soft Drinks","1,568,123,933",United Kingdom,30.55,38.74,16.22,47.06,100.00,149.22,300,10.41,8.89,-11.56,8.90,104.54,1.50,0.30,4.00,37.11,26.53,24.96
City of London Investment Trust PLC,CTY.L,London Stock Exchange,UK Investment Trusts,Ordinary Share,British Penny,GB0001990497,G90260103,0199049,,"2,439,218,971",United Kingdom,17.10,6.30,14.41,21.25,100.00,5.44,0,3.21,83.91,-12.86,2.52,29.99,5.10,0.07,0.78,12.23,8.56,7.78
Inchcape PLC,INCH.L,London Stock Exchange,Auto & Truck Parts Wholesale,Ordinary Share,British Penny,GB00B61TVQ02,G47320208,B61TVQ0,"Consumer Discretionary, Retailing, Distributors","3,698,794,817",United Kingdom,44.58,23.36,36.56,87.98,100.00,"39,225.00","14,500",-0.73,5.05,-1.02,1.45,12.81,4.24,3.52,1.17,30.65,22.53,5.81
EMIS Group PLC,EMISG.L,London Stock Exchange,Medical Software & Technology Services,Ordinary Share,British Penny,GB00B61D1Y04,G2898S102,B61D1Y0,"Health Care, Health Care Equipment & Services, Health Care Technology","1,488,671,876",United Kingdom,55.31,37.35,49.12,71.83,100.00,920.00,"1,508",23.28,22.63,32.61,8.45,39.70,2.22,0.58,1.21,40.84,1.54,53.12
Safestore Holdings PLC,SAFE.L,London Stock Exchange,Self-Storage REITs,Ordinary Share,British Penny,GB00B1N7Z094,G77733106,B1N7Z09,"Real Estate, Equity Real Estate Investment Trusts (REITs), Specialized REITs, Self-Storage REITs","1,941,992,205",United Kingdom,74.22,79.79,67.41,74.13,100.00,"3,244.50",751,25.81,237.18,42.47,18.14,5.40,4.18,0.51,0.30,28.38,33.67,3.35
Renewables Infrastructure Group Ltd,TRIG.L,London Stock Exchange,Closed End Funds,Ordinary Share,British Penny,GG00BBHX2H91,G7490B100,BBHX2H9,"Utilities, Independent Power and Renewable Electricity Producers, Renewable Electricity","3,119,160,698",Guernsey,77.66,56.93,79.23,80.64,100.00,"1,380.00",0,15.58,99.59,17.33,1.50,20.64,6.86,0.01,12.05,19.35,26.58,3.23
Travis Perkins PLC,TPK.L,London Stock Exchange,Builder Merchants,Ordinary Share,British Penny,GB00BK9RKT01,G90202139,BK9RKT0,"Industrials, Capital Goods, Trading Companies & Distributors","2,103,161,526",United Kingdom,61.88,62.68,37.11,88.99,100.00,"51,561.00","18,833",9.14,5.20,-4.93,-5.42,11.57,4.84,0.97,1.47,28.20,25.58,7.47
3I Infrastructure PLC,3IN.L,London Stock Exchange,Closed End Funds,Ordinary Share,British Penny,JE00BF5FX167,G8873L178,BF5FX16,,"3,467,307,343",Jersey,30.67,10.38,52.18,18.85,100.00,"1,828.00",0,12.71,81.29,147.69,4.62,0.07,3.64,0.20,0.79,16.96,11.69,10.57
Cranswick PLC,CWK.L,London Stock Exchange,Food Processing (NEC),Ordinary Share,British Penny,GB0002318888,G2504J108,0231888,"Consumer Staples, Food, Beverage & Tobacco, Food Products, Packaged Foods & Meats","2,335,895,002",United Kingdom,68.12,76.36,56.24,79.56,100.00,"126,865.00","9,930",13.22,6.08,8.61,8.14,16.94,2.25,0.50,1.72,19.47,3.76,38.46
Advanced Medical Solutions Group PLC,AMSU.L,London Stock Exchange,Medical Supplies,Ordinary Share,British Penny,GB0004536594,G0098X103,0453659,"Health Care, Health Care Equipment & Services, Health Care Equipment & Supplies, Health Care Supplies","507,042,978",United Kingdom,49.69,26.31,47.74,63.17,100.00,"2,838.42",719,8.62,20.02,-0.21,14.34,20.94,1.16,0.19,5.82,46.20,37.60,14.73
Grainger PLC,GRI.L,London Stock Exchange,Residential Real Estate Rental & Development,Ordinary Share,British Penny,GB00B04V1276,G40432117,B04V127,"Real Estate, Real Estate Management & Development, Real Estate Operating Companies","2,182,700,116",United Kingdom,63.72,63.34,66.56,60.97,100.00,100.00,342,11.66,115.34,13.75,6.29,11.22,2.58,0.82,4.29,25.43,11.85,18.15
Hill & Smith PLC,HILS.L,London Stock Exchange,Iron & Steel (NEC),Ordinary Share,British Penny,GB0004270301,G45080101,0427030,"Materials, Metals & Mining, Steel","1,630,846,068",United Kingdom,52.41,50.42,54.02,52.63,100.00,"61,792.00","4,386",14.35,12.44,-0.56,3.13,20.50,2.23,0.76,2.01,26.79,11.06,80.20
Redde Northgate PLC,REDD.L,London Stock Exchange,Ground Freight & Logistics (NEC),Ordinary Share,British Penny,GB00B41H7391,G7331W115,B41H739,"Industrials, Transportation, Ground Transportation, Passenger Ground Transportation","913,550,827",United Kingdom,44.03,27.12,45.76,62.07,100.00,"24,057.00","6,700",14.00,14.30,13.23,6.28,5.38,7.43,1.12,1.28,23.54,26.26,9.31
Clarkson PLC,CKN.L,London Stock Exchange,Marine Freight & Logistics (NEC),Ordinary Share,British Penny,GB0002018363,G21840106,0201836,"Industrials, Transportation, Marine","1,009,430,439",United Kingdom,48.43,42.07,39.86,67.20,100.00,"2,162.00","1,693",18.45,16.66,18.88,4.96,9.57,3.51,1.02,1.48,27.50,24.40,4.28
Blackrock World Mining Trust PLC,BRWM.L,London Stock Exchange,UK Investment Trusts,Ordinary Share,British Penny,GB0005774855,G1314Y107,0577485,,"1,336,400,966",United Kingdom,52.36,46.86,73.05,38.17,100.00,"21,964.20",0,15.58,92.61,3.77,20.72,8.38,7.03,0.13,0.25,25.81,26.58,5.38
CVS Group PLC,CVSG.L,London Stock Exchange,Veterinary Services,Ordinary Share,British Penny,GB00B2863827,G27234106,B286382,"Health Care, Health Care Equipment & Services, Health Care Providers & Services, Health Care Facilities","1,341,988,951",United Kingdom,58.34,55.35,52.55,66.78,77.14,"11,158.00","7,913",16.33,10.24,29.73,8.45,20.43,0.49,1.23,1.06,34.91,31.40,11.87
Keywords Studios PLC,KWS.L,London Stock Exchange,IT Services & Consulting (NEC),Ordinary Share,British Penny,GB00BBQ38507,G5254U108,BBQ3850,"Information Technology, Software & Services, IT Services, IT Consulting & Other Services","1,411,925,744",Ireland,55.09,28.74,44.33,72.25,100.00,"4,294.00","9,493",8.51,11.61,38.10,10.17,39.13,0.17,0.45,1.22,44.18,52.39,15.29
Bodycote PLC,BOY.L,London Stock Exchange,Industrial Machinery & Equipment (NEC),Ordinary Share,British Penny,GB00B3FLWH99,G1214R111,B3FLWH9,"Industrials, Capital Goods, Machinery, Industrial Machinery","1,485,312,674",United Kingdom,55.64,33.30,59.62,77.22,100.00,"259,800.00","4,757",9.44,13.70,-5.42,4.13,14.37,3.42,0.49,0.93,27.20,13.32,38.61
discoverIE Group plc,DSCV.L,London Stock Exchange,Electronic Components,Ordinary Share,British Penny,GB0000055888,G2887F103,0005588,"Industrials, Capital Goods, Electrical Equipment, Electrical Components & Equipment","759,957,740",United Kingdom,42.47,51.59,31.25,42.76,100.00,"8,245.24","4,886",7.02,8.02,5.95,4.93,28.79,1.78,0.93,1.65,28.66,32.99,5.25
TP ICAP Group PLC,TCAPI.L,London Stock Exchange,Investment Banking & Brokerage Services (NEC),Ordinary Share,British Penny,JE00BMDZN391,G8963N100,BMDZN39,"Financials, Diversified Financials, Capital Markets, Investment Banking & Brokerage","1,591,558,101",United Kingdom,61.03,13.01,49.39,85.28,100.00,"9,615.80","5,365",4.81,8.75,-1.29,-3.76,12.33,7.69,1.73,1.42,28.71,18.46,17.50
Genus PLC,GNS.L,London Stock Exchange,Biotechnology & Medical Research (NEC),Ordinary Share,British Penny,GB0002074580,G3827X105,0207458,"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Biotechnology","1,792,688,332",United Kingdom,61.59,48.62,58.93,72.64,100.00,"81,051.00","3,325",7.07,9.57,-6.13,4.24,43.37,1.45,0.77,1.70,29.78,34.30,11.84
Kainos Group PLC,KNOS.L,London Stock Exchange,IT Services & Consulting (NEC),Ordinary Share,British Penny,GB00BZ0D6727,G5209U104,BZ0D672,"Information Technology, Software & Services, IT Services, IT Consulting & Other Services","1,749,198,855",United Kingdom,48.19,20.52,50.96,54.11,100.00,196.00,"2,692",32.20,14.14,27.43,29.35,33.81,2.10,0.81,1.86,33.95,35.34,3.84
Morgan Advanced Materials PLC,MGAMM.L,London Stock Exchange,Industrial Machinery & Equipment (NEC),Ordinary Share,British Penny,GB0006027295,G62496131,0602729,"Industrials, Capital Goods, Machinery, Industrial Machinery","850,149,298",United Kingdom,73.85,70.85,74.82,76.17,67.95,"229,887.00","7,800",22.62,13.16,-4.29,1.76,11.72,4.95,1.52,1.75,22.92,25.73,7.30
Big Yellow Group PLC,BYG.L,London Stock Exchange,Self-Storage REITs,Ordinary Share,British Penny,GB0002869419,G1093E108,0286941,"Real Estate, Equity Real Estate Investment Trusts (REITs), Specialized REITs, Self-Storage REITs","2,206,043,100",United Kingdom,87.16,91.46,77.34,91.36,100.00,"2,667.00",495,3.36,48.89,-13.95,9.53,24.29,4.65,0.26,0.28,26.91,25.55,7.93
RWS Holdings PLC,RWS.L,London Stock Exchange,Business Support Services (NEC),Ordinary Share,British Penny,GB00BVFCZV34,G7734E126,BVFCZV3,"Industrials, Commercial & Professional Services, Professional Services, Research & Consulting Services","1,121,127,074",United Kingdom,54.04,63.03,53.88,47.94,74.58,"4,889.04","7,761",5.49,11.52,7.92,12.57,15.51,4.97,0.29,1.60,36.98,42.61,7.77
Murray International Trust PLC,MYI.L,London Stock Exchange,UK Investment Trusts,Ordinary Share,British Penny,GB00BQZCCB79,G63448206,BQZCCB7,,"1,780,715,353",United Kingdom,35.50,16.99,38.73,36.82,100.00,7.52,0,8.33,91.56,-8.10,2.29,13.17,4.82,0.13,0.55,15.65,15.71,3.06
Bluefield Solar Income Fund Ltd,BSIF.L,London Stock Exchange,Closed End Funds,Ordinary Share,British Penny,GG00BB0RDB98,G1340W109,BB0RDB9,,"827,788,291",Guernsey,49.73,27.78,62.40,44.77,100.00,"1,139.00",0,5.48,"5,164.79",-4.02,3.01,14.39,7.80,0.00,3.52,19.07,22.94,2.42
JLEN Environmental Assets Group Ltd,JLEN.L,London Stock Exchange,Closed End Funds,Ordinary Share,British Penny,GG00BJL5FH87,G5146Z109,BJL5FH8,,"786,684,999",Guernsey,41.70,31.10,52.86,35.57,100.00,"75,166.00",0,12.07,90.65,21.19,2.50,6.50,7.49,0.00,0.11,13.89,25.42,2.11
Sirius Real Estate Ltd,SRET.L,London Stock Exchange,"Real Estate Rental, Development & Operations (NEC)",Ordinary Share,British Penny,GG00B1W3VF54,G8187C104,B1W3VF5,"Real Estate, Real Estate Management & Development, Real Estate Operating Companies","1,232,701,449",Guernsey,55.73,26.61,48.74,91.55,100.00,99.48,416,6.65,38.13,-5.10,12.51,14.21,5.70,0.99,0.44,26.96,7.59,30.67
Moneysupermarket.Com Group PLC,MONY.L,London Stock Exchange,Online Services (NEC),Ordinary Share,British Penny,GB00B1ZBKY84,G6258H101,B1ZBKY8,"Communication Services, Media & Entertainment, Interactive Media & Services","1,622,461,863",United Kingdom,58.64,40.62,47.87,73.32,100.00,88.00,751,32.73,23.04,-2.48,2.32,17.35,4.80,0.92,0.77,27.58,13.07,44.11
Liontrust Asset Management PLC,LIO.L,London Stock Exchange,Investment Management,Ordinary Share,British Penny,GB0007388407,G5498A108,0738840,"Financials, Diversified Financials, Capital Markets, Asset Management & Custody Banks","468,268,209",United Kingdom,59.25,46.51,44.36,75.65,69.44,"3,157.35",203,17.80,24.33,28.18,27.94,9.55,12.27,1.29,1.43,38.65,54.85,8.40
XPS Pensions Group PLC,XPS.L,London Stock Exchange,Investment Management & Fund Operators (NEC),Ordinary Share,British Penny,GB00BDDN1T20,G9829Q105,BDDN1T2,"Financials, Diversified Financials, Capital Markets, Asset Management & Custody Banks","497,189,553",United Kingdom,46.75,19.99,49.30,52.62,100.00,445.00,"1,442",10.61,15.25,38.70,5.92,25.29,3.85,0.90,1.47,29.06,6.70,66.67
Redrow PLC,RDW.L,London Stock Exchange,Homebuilding (NEC),Ordinary Share,British Penny,GB00BG11K365,G7455X147,BG11K36,"Consumer Discretionary, Consumer Durables & Apparel, Household Durables, Homebuilding","2,002,498,940",United Kingdom,62.37,57.44,65.71,63.54,100.00,"12,149.00","2,247",14.71,18.76,0.38,0.40,5.40,6.09,0.52,3.52,30.43,11.76,34.13
Ashmore Group PLC,ASHM.L,London Stock Exchange,Investment Management,Ordinary Share,British Penny,GB00B132NW22,G0609C101,B132NW2,"Financials, Diversified Financials, Capital Markets, Asset Management & Custody Banks","1,637,375,885",United Kingdom,65.54,59.87,41.33,87.67,100.00,279.20,309,9.27,40.80,-11.26,0.30,15.04,9.04,0.11,10.09,29.35,34.71,5.17
Volution Group PLC,FAN.L,London Stock Exchange,"Heating, Ventilation & Air Conditioning Systems",Ordinary Share,British Penny,GB00BN3ZZ526,G93824103,BN3ZZ52,"Industrials, Capital Goods, Building Products","899,799,052",United Kingdom,46.79,41.09,31.91,73.14,100.00,"3,676.00","1,911",17.10,16.36,23.18,12.50,19.53,2.16,0.98,1.85,33.99,18.68,30.11
Telecom Plus PLC,TEP.L,London Stock Exchange,Multiline Utilities,Ordinary Share,British Penny,GB0008794710,G8729H108,0879471,"Utilities, Multi-Utilities","1,527,631,668",United Kingdom,35.24,18.25,30.12,73.17,100.00,830.77,"1,987",29.66,3.47,17.42,9.86,18.08,5.12,2.44,1.20,29.21,38.18,10.76
Impax Asset Management Group PLC,IPX.L,London Stock Exchange,Investment Management,Ordinary Share,British Penny,GB0004905260,G4718L101,0490526,"Financials, Diversified Financials, Capital Markets, Asset Management & Custody Banks","679,271,593",United Kingdom,51.74,85.94,58.25,35.97,100.00,36.00,240,43.05,37.16,47.99,56.93,10.87,6.62,0.47,2.74,46.39,53.59,7.61
Gamma Communications PLC,GAMA.L,London Stock Exchange,Cloud Computing Services,Ordinary Share,British Penny,GB00BQS10J50,G371B3109,BQS10J5,"Communication Services, Telecommunication Services, Diversified Telecommunication Services, Alternative Carriers","1,304,587,852",United Kingdom,65.66,47.59,70.48,66.94,100.00,"1,843.60","1,671",16.37,16.08,15.84,12.30,20.56,1.44,0.36,3.05,21.01,12.94,14.26
Midwich Group PLC,MIDWM.L,London Stock Exchange,Consumer Electronics Retailers,Ordinary Share,British Penny,GB00BYSXWW41,G6113M105,BYSXWW4,"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Technology Distributors","507,377,015",United Kingdom,34.27,36.28,18.11,51.23,100.00,321.40,"1,095",12.67,2.95,0.30,1.65,18.58,4.00,3.53,1.43,37.90,28.34,2.56
Crest Nicholson Holdings PLC,CRST.L,London Stock Exchange,Homebuilding (NEC),Ordinary Share,British Penny,GB00B8VZXT93,G25425102,B8VZXT9,"Consumer Discretionary, Consumer Durables & Apparel, Household Durables, Homebuilding","545,403,252",United Kingdom,53.22,53.31,52.32,54.52,100.00,"5,356.30",661,2.99,15.67,-31.05,-12.42,4.94,9.84,0.79,3.08,40.03,37.57,6.34
BBGI Global Infrastructure SA,BBGIB.L,London Stock Exchange,Diversified Investment Services,Ordinary Share,British Penny,LU0686550053,L10642103,B6QWXM4,"Financials, Diversified Financials, Capital Markets, Asset Management & Custody Banks","1,131,155,021",Luxembourg,69.60,70.43,46.65,88.72,100.00,17.10,25,11.13,85.01,10.26,-4.84,24.43,5.98,0.07,4.45,22.01,23.33,4.55
Ab Dynamics PLC,ABDP.L,London Stock Exchange,Automotive Systems,Ordinary Share,British Penny,GB00B9GQVG73,G0032G109,B9GQVG7,"Consumer Discretionary, Automobiles & Components, Auto Components, Auto Parts & Equipment","453,615,365",United Kingdom,46.42,32.04,44.99,68.98,100.00,975.00,428,3.49,6.51,-3.62,9.77,104.41,0.34,0.26,2.84,24.19,22.22,23.37
HgCapital Trust PLC,HGT.L,London Stock Exchange,UK Investment Trusts,Ordinary Share,British Penny,GB00BJ0LT190,G4441G148,BJ0LT19,,"2,176,176,318",United Kingdom,46.44,59.05,60.80,33.31,100.00,113.00,0,5.14,86.04,-7.34,8.76,10.51,1.68,0.07,110.30,30.64,7.86,22.47
Numis Corporation PLC,NUM.L,London Stock Exchange,Investment Banking & Brokerage Services (NEC),Ordinary Share,British Penny,GB00B05M6465,G6680D108,B05M646,"Financials, Diversified Financials, Capital Markets, Investment Banking & Brokerage","463,527,625",United Kingdom,39.83,17.65,33.85,51.53,100.00,92.20,336,7.40,13.36,-14.66,2.38,201.17,3.94,2.36,1.45,60.77,1.86,101.76
Merchants Trust PLC,MRCH.L,London Stock Exchange,UK Investment Trusts,Ordinary Share,British Penny,GB0005800072,G59976103,0580007,,"939,671,557",United Kingdom,28.38,1.14,25.06,36.28,100.00,"114,237.00",0,4.95,83.60,-15.37,1.92,41.23,5.40,0.14,0.30,15.68,14.19,8.33
Central Asia Metals PLC,CAML.L,London Stock Exchange,Copper Ore Mining,Ordinary Share,British Penny,GB00B67KBV28,G2069H109,B67KBV2,"Materials, Metals & Mining, Copper","387,497,361",United Kingdom,68.67,62.12,82.56,55.29,100.00,"59,082.00","1,035",9.15,50.37,-7.10,3.92,884.69,10.96,0.20,4.17,27.05,42.01,5.88
Jupiter Fund Management PLC,JUP.L,London Stock Exchange,Investment Management,Ordinary Share,British Penny,GB00B53P2009,G5207P107,B53P200,"Financials, Diversified Financials, Capital Markets, Asset Management & Custody Banks","595,549,158",United Kingdom,60.63,78.69,60.92,54.96,100.00,434.20,584,5.68,15.45,-23.74,-13.25,8.16,4.50,0.47,2.26,33.90,42.31,11.10
Smart Metering Systems PLC,SMSS.L,London Stock Exchange,Electronic Equipment & Parts (NEC),Ordinary Share,British Penny,GB00B4X1RC86,G82373104,B4X1RC8,"Industrials, Commercial & Professional Services, Commercial Services & Supplies, Diversified Support Services","1,009,430,501",United Kingdom,48.34,44.97,44.26,57.13,100.00,"4,375.70","1,125",2.79,21.90,-7.15,40.96,50.88,5.40,0.31,1.72,23.45,34.05,7.32
Mortgage Advice Bureau (Holdings) PLC,MAB1.L,London Stock Exchange,Investment Management & Fund Operators (NEC),Ordinary Share,British Penny,GB00BQSBH502,G6319A103,BQSBH50,"Financials, Financial Services, Commercial & Residential Mortgage Finance","391,607,531",United Kingdom,34.44,10.88,28.59,46.46,100.00,254.00,445,18.02,11.26,-1.74,5.60,28.97,5.04,1.39,0.84,48.44,40.00,37.22
Craneware PLC,CRW.L,London Stock Exchange,Software (NEC),Ordinary Share,British Penny,GB00B2425G68,G2554M100,B2425G6,"Health Care, Health Care Equipment & Services, Health Care Technology","649,253,736",United Kingdom,27.06,26.98,31.09,23.62,100.00,15.82,724,2.83,12.50,-14.22,3.50,72.21,1.91,0.71,1.07,45.63,33.56,41.04
Genuit Group PLC,GENG.L,London Stock Exchange,Construction Supplies & Fixtures (NEC),Ordinary Share,British Penny,GB00BKRC5K31,G7179X100,BKRC5K3,"Industrials, Capital Goods, Building Products","935,151,348",United Kingdom,53.07,63.64,45.16,51.74,100.00,"21,034.00","3,658",5.82,13.34,-8.32,2.07,21.77,4.03,0.64,1.67,35.38,12.71,25.20
